acclr(x),acclr(y),acclr(z),gyro(x),gyro(y),gyro(z)
0.2,-0.03,11.36,-0.03,0.02,-0.04
0.28,-0.02,10.85,-0.03,0.06,-0.04
0.45,-0.02,9.67,-0.02,0.08,-0.04
0.63,-0.08,8.52,-0.03,0.07,-0.04
0.72,-0.06,7.66,-0.04,0.03,-0.04
0.7,-0.14,7.87,-0.06,-0.02,-0.04
0.66,-0.11,8.28,-0.09,-0.08,-0.04
0.28,-0.1,10.25,-0.07,-0.09,-0.04
0.1,-0.06,11.71,-0.04,0,-0.04
0.28,-0.03,11.05,-0.03,0.05,-0.04
0.4,0,10.15,-0.02,0.07,-0.04
0.51,-0.12,9.1,-0.03,0.07,-0.04
0.66,-0.07,8.19,-0.03,0.06,-0.04
0.8,-0.05,7.34,-0.04,0.02,-0.04
0.69,-0.15,7.84,-0.07,-0.04,-0.04
0.56,-0.15,8.53,-0.08,-0.07,-0.04
0.45,-0.12,9.56,-0.08,-0.08,-0.04
0.29,-0.04,10.31,-0.07,-0.08,-0.04
0.17,-0.04,11.25,-0.05,-0.04,-0.04
0.16,-0.03,11.43,-0.04,0,-0.04
0.26,-0.02,11.13,-0.03,0.04,-0.04
0.42,-0.04,10.09,-0.02,0.07,-0.04
0.57,-0.06,9.03,-0.02,0.08,-0.04
0.7,-0.03,7.81,-0.04,0.05,-0.04
0.76,-0.1,7.3,-0.05,0.01,-0.04
0.68,-0.17,7.85,-0.07,-0.04,-0.04
0.57,-0.16,8.49,-0.08,-0.07,-0.04
0.41,-0.1,9.58,-0.09,-0.08,-0.04
0.31,-0.07,10.37,-0.07,-0.07,-0.04
0.19,-0.03,11.23,-0.05,-0.04,-0.04
0.16,-0.03,11.43,-0.04,0,-0.04
0.28,-0.05,11,-0.03,0.05,-0.04
0.42,-0.02,10.07,-0.02,0.07,-0.04
0.58,-0.08,8.83,-0.03,0.07,-0.04
0.71,-0.05,7.82,-0.04,0.05,-0.04
0.77,-0.09,7.33,-0.05,0,-0.04
0.72,-0.16,7.83,-0.07,-0.04,-0.04
0.56,-0.13,8.67,-0.08,-0.07,-0.04
0.42,-0.12,9.57,-0.09,-0.09,-0.04
0.28,-0.08,10.56,-0.07,-0.07,-0.04
0.18,-0.05,11.19,-0.05,-0.04,-0.04
0.16,-0.03,11.43,-0.04,0.01,-0.04
0.26,-0.01,11.03,-0.03,0.05,-0.04
0.43,-0.01,9.96,-0.02,0.08,-0.04
0.61,-0.07,8.9,-0.03,0.07,-0.04
0.7,-0.06,7.66,-0.04,0.04,-0.04
0.8,-0.08,7.24,-0.05,0,-0.04
0.72,-0.15,7.86,-0.07,-0.04,-0.04
0.56,-0.13,8.58,-0.08,-0.07,-0.04
0.4,-0.08,9.62,-0.09,-0.09,-0.04
0.28,-0.06,10.37,-0.07,-0.07,-0.04
0.17,-0.07,11.27,-0.05,-0.04,-0.04
0.18,-0.02,11.46,-0.04,0.01,-0.04
0.28,0,10.94,-0.03,0.05,-0.04
0.41,-0.03,10.04,-0.02,0.07,-0.04
0.58,-0.05,8.77,-0.03,0.08,-0.04
0.7,-0.05,7.78,-0.04,0.05,-0.04
0.74,-0.08,7.35,-0.05,0,-0.04
0.71,-0.19,7.82,-0.07,-0.04,-0.04
0.53,-0.13,8.7,-0.08,-0.07,-0.04
0.42,-0.12,9.56,-0.09,-0.09,-0.04
0.24,-0.03,10.53,-0.07,-0.07,-0.04
0.16,-0.03,11.24,-0.05,-0.04,-0.04
0.18,-0.03,11.4,-0.04,0.01,-0.04
0.28,-0.04,10.97,-0.03,0.05,-0.04
0.43,-0.05,9.93,-0.02,0.08,-0.04
0.57,-0.06,8.84,-0.03,0.07,-0.04
0.71,-0.08,7.67,-0.04,0.04,-0.04
0.76,-0.09,7.34,-0.05,0,-0.04
0.69,-0.17,7.89,-0.07,-0.05,-0.04
0.55,-0.13,8.61,-0.08,-0.07,-0.04
0.38,-0.08,9.67,-0.08,-0.08,-0.04
0.25,-0.05,10.48,-0.07,-0.07,-0.04
0.18,-0.05,11.3,-0.05,-0.03,-0.04
0.17,-0.03,11.4,-0.04,0.01,-0.04
0.29,-0.03,10.88,-0.03,0.05,-0.04
0.43,-0.02,9.96,-0.02,0.07,-0.04
0.6,-0.06,8.75,-0.03,0.07,-0.04
0.7,-0.05,7.73,-0.04,0.05,-0.04
0.74,-0.1,7.4,-0.05,0,-0.04
0.71,-0.17,7.83,-0.07,-0.04,-0.04
0.53,-0.16,8.71,-0.08,-0.08,-0.04
0.41,-0.11,9.58,-0.09,-0.09,-0.04
0.23,-0.06,10.6,-0.07,-0.07,-0.04
0.16,-0.03,11.27,-0.05,-0.04,-0.04
0.2,-0.04,11.4,-0.03,0.01,-0.04
0.28,-0.04,10.94,-0.03,0.05,-0.04
0.43,0,9.89,-0.02,0.07,-0.04
0.57,-0.05,8.82,-0.03,0.07,-0.04
0.73,-0.06,7.64,-0.04,0.04,-0.04
0.78,-0.09,7.3,-0.05,0,-0.04
0.72,-0.16,7.83,-0.07,-0.04,-0.04
0.57,-0.12,8.56,-0.08,-0.07,-0.04
0.37,-0.07,9.67,-0.09,-0.09,-0.04
0.27,-0.04,10.47,-0.07,-0.07,-0.04
0.19,-0.05,11.27,-0.05,-0.03,-0.04
0.18,-0.04,11.4,-0.04,0.01,-0.04
0.29,-0.02,10.92,-0.03,0.05,-0.04
0.41,-0.01,10.03,-0.02,0.07,-0.04
0.58,-0.06,8.81,-0.03,0.07,-0.04
0.7,-0.05,7.83,-0.04,0.05,-0.04
0.76,-0.11,7.35,-0.05,0,-0.04
0.7,-0.14,7.77,-0.07,-0.04,-0.04
0.58,-0.14,8.64,-0.08,-0.07,-0.04
0.39,-0.09,9.59,-0.09,-0.09,-0.04
0.26,-0.05,10.48,-0.07,-0.07,-0.04
0.17,-0.04,11.16,-0.05,-0.04,-0.04
0.21,-0.02,11.41,-0.04,0.01,-0.04
0.26,-0.01,11.04,-0.03,0.05,-0.04
0.42,-0.01,9.93,-0.02,0.07,-0.04
0.56,-0.08,8.97,-0.02,0.07,-0.04
0.72,-0.07,7.78,-0.04,0.05,-0.04
0.76,-0.1,7.3,-0.05,0,-0.04
0.72,-0.17,7.83,-0.07,-0.04,-0.04
0.59,-0.11,8.54,-0.08,-0.07,-0.04
0.39,-0.11,9.62,-0.08,-0.09,-0.04
0.31,-0.07,10.43,-0.07,-0.08,-0.04
0.17,-0.03,11.23,-0.05,-0.04,-0.04
0.2,-0.03,11.39,-0.04,0,-0.04
0.3,-0.05,10.99,-0.03,0.05,-0.04
0.41,-0.03,10.08,-0.02,0.07,-0.04
0.58,-0.06,8.88,-0.03,0.07,-0.04
0.68,-0.05,7.91,-0.04,0.05,-0.04
0.78,-0.1,7.31,-0.05,0.01,-0.04
0.71,-0.14,7.71,-0.06,-0.03,-0.04
0.58,-0.14,8.52,-0.08,-0.07,-0.04
0.42,-0.1,9.45,-0.09,-0.09,-0.04
0.3,-0.06,10.41,-0.07,-0.07,-0.04
0.16,-0.04,11.09,-0.06,-0.05,-0.04
0.17,-0.02,11.4,-0.04,0,-0.04
0.27,-0.02,11.11,-0.03,0.04,-0.04
0.4,-0.04,10.12,-0.02,0.07,-0.04
0.52,-0.05,9.12,-0.02,0.08,-0.04
0.67,-0.08,7.94,-0.04,0.05,-0.04
0.77,-0.08,7.38,-0.05,0.02,-0.04
0.72,-0.15,7.68,-0.06,-0.03,-0.04
0.58,-0.11,8.32,-0.08,-0.07,-0.04
0.41,-0.1,9.4,-0.09,-0.09,-0.04
0.28,-0.03,10.24,-0.08,-0.08,-0.04
0.15,-0.04,11.08,-0.06,-0.04,-0.04
0.17,-0.03,11.37,-0.04,0,-0.04
0.26,-0.03,11.14,-0.03,0.04,-0.04
0.38,-0.02,10.41,-0.02,0.07,-0.04
0.5,-0.04,9.41,-0.02,0.08,-0.04
0.65,-0.07,8.16,-0.03,0.06,-0.04
0.75,-0.05,7.48,-0.05,0.02,-0.04
0.7,-0.1,7.56,-0.06,-0.02,-0.04
0.6,-0.12,8.28,-0.08,-0.06,-0.04
0.51,-0.13,9.17,-0.09,-0.08,-0.04
0.29,-0.08,10.14,-0.08,-0.08,-0.04
0.15,-0.03,10.94,-0.06,-0.06,-0.04
0.17,-0.04,11.3,-0.05,-0.02,-0.04
0.25,-0.06,11.24,-0.03,0.03,-0.04
0.32,-0.01,10.55,-0.02,0.06,-0.04
0.51,-0.04,9.44,-0.02,0.08,-0.04
0.64,-0.08,8.44,-0.03,0.06,-0.04
0.75,-0.09,7.56,-0.04,0.03,-0.04
0.72,-0.11,7.52,-0.06,-0.01,-0.04
0.66,-0.13,8.09,-0.08,-0.05,-0.04
0.54,-0.14,8.93,-0.08,-0.08,-0.04
0.36,-0.11,9.92,-0.08,-0.08,-0.04
0.19,-0.05,10.74,-0.07,-0.06,-0.04
0.17,-0.05,11.26,-0.04,-0.02,-0.04
0.22,-0.06,11.3,-0.03,0.02,-0.04
0.34,-0.03,10.59,-0.02,0.05,-0.04
0.45,-0.03,9.71,-0.02,0.07,-0.04
0.62,-0.07,8.59,-0.03,0.06,-0.04
0.71,-0.05,7.72,-0.04,0.04,-0.04
0.7,-0.1,7.57,-0.06,-0.01,-0.04
0.67,-0.14,7.98,-0.07,-0.04,-0.04
0.55,-0.12,8.84,-0.08,-0.08,-0.04
0.33,-0.07,9.72,-0.08,-0.08,-0.04
0.21,-0.06,10.71,-0.07,-0.06,-0.04
0.18,-0.03,11.25,-0.05,-0.03,-0.04
0.21,-0.04,11.31,-0.03,0.02,-0.04
0.31,-0.03,10.82,-0.02,0.05,-0.04
0.47,-0.04,9.7,-0.02,0.07,-0.04
0.6,-0.07,8.69,-0.03,0.07,-0.04
0.73,-0.05,7.69,-0.04,0.04,-0.04
0.72,-0.11,7.47,-0.05,0,-0.04
0.66,-0.16,7.97,-0.07,-0.05,-0.04
0.54,-0.14,8.71,-0.08,-0.07,-0.04
0.36,-0.06,9.71,-0.08,-0.08,-0.04
0.24,-0.04,10.5,-0.07,-0.07,-0.04
0.15,-0.04,11.29,-0.05,-0.03,-0.04
0.16,-0.05,11.37,-0.04,0.01,-0.04
0.31,-0.04,10.83,-0.03,0.05,-0.04
0.42,-0.02,9.9,-0.02,0.07,-0.04
0.6,-0.06,8.72,-0.03,0.07,-0.04
0.73,-0.07,7.79,-0.04,0.04,-0.04
0.73,-0.11,7.45,-0.05,0,-0.04
0.67,-0.15,7.83,-0.07,-0.04,-0.04
0.55,-0.15,8.68,-0.08,-0.07,-0.04
0.42,-0.09,9.48,-0.09,-0.08,-0.04
0.25,-0.04,10.44,-0.07,-0.07,-0.04
0.2,-0.05,11.16,-0.05,-0.04,-0.04
0.18,-0.05,11.43,-0.04,0.01,-0.04
0.27,-0.03,11.03,-0.03,0.04,-0.04
0.41,-0.02,9.98,-0.02,0.07,-0.04
0.57,-0.07,8.97,-0.02,0.07,-0.04
0.71,-0.07,7.84,-0.04,0.05,-0.04
0.75,-0.08,7.38,-0.05,0.01,-0.04
0.66,-0.14,7.79,-0.06,-0.04,-0.04
0.58,-0.17,8.41,-0.08,-0.06,-0.04
0.45,-0.11,9.37,-0.09,-0.08,-0.04
0.31,-0.04,10.22,-0.08,-0.08,-0.04
0.15,-0.02,11.09,-0.05,-0.05,-0.04
0.15,-0.05,11.44,-0.04,-0.01,-0.04
0.24,-0.02,11.11,-0.03,0.04,-0.04
0.38,-0.03,10.3,-0.02,0.07,-0.04
0.52,-0.06,9.11,-0.02,0.08,-0.04
0.68,-0.05,8.04,-0.03,0.06,-0.04
0.76,-0.09,7.42,-0.05,0.01,-0.04
0.69,-0.1,7.62,-0.06,-0.03,-0.04
0.57,-0.15,8.36,-0.08,-0.06,-0.04
0.5,-0.12,9.16,-0.09,-0.08,-0.04
0.33,-0.05,10.09,-0.08,-0.08,-0.04
0.2,-0.04,10.91,-0.06,-0.06,-0.04
0.16,-0.06,11.4,-0.04,-0.01,-0.04
0.23,-0.05,11.3,-0.03,0.03,-0.04
0.34,-0.03,10.44,-0.02,0.07,-0.04
0.49,-0.03,9.45,-0.02,0.08,-0.04
0.66,-0.05,8.2,-0.03,0.06,-0.04
0.75,-0.08,7.49,-0.04,0.03,-0.04
0.7,-0.13,7.59,-0.06,-0.02,-0.04
0.63,-0.15,8.16,-0.07,-0.05,-0.04
0.51,-0.15,9.07,-0.09,-0.08,-0.04
0.33,-0.06,9.85,-0.08,-0.08,-0.04
0.2,-0.03,10.84,-0.06,-0.06,-0.04
0.19,-0.05,11.37,-0.05,-0.02,-0.04
0.23,-0.04,11.34,-0.03,0.02,-0.04
0.33,-0.02,10.7,-0.03,0.06,-0.04
0.49,-0.07,9.62,-0.02,0.08,-0.04
0.66,-0.07,8.53,-0.03,0.07,-0.04
0.75,-0.06,7.58,-0.04,0.03,-0.04
0.74,-0.1,7.47,-0.05,-0.01,-0.04
0.66,-0.15,8.04,-0.07,-0.05,-0.04
0.55,-0.13,8.82,-0.08,-0.07,-0.04
0.37,-0.09,9.78,-0.08,-0.08,-0.04
0.27,-0.06,10.56,-0.07,-0.07,-0.04
0.17,-0.06,11.3,-0.05,-0.03,-0.04
0.19,-0.04,11.4,-0.04,0.01,-0.04
0.28,-0.02,10.81,-0.03,0.05,-0.04
0.42,-0.01,9.93,-0.02,0.07,-0.04
0.6,-0.05,8.67,-0.03,0.07,-0.04
0.7,-0.07,7.79,-0.04,0.04,-0.04
0.73,-0.1,7.43,-0.05,0,-0.04
0.67,-0.18,7.86,-0.06,-0.04,-0.04
0.53,-0.16,8.66,-0.08,-0.07,-0.04
0.47,-0.11,9.5,-0.09,-0.08,-0.04
0.32,-0.06,10.4,-0.07,-0.07,-0.04
0.18,-0.04,11.19,-0.06,-0.04,-0.04
0.17,-0.04,11.45,-0.04,0.01,-0.04
0.26,-0.04,11.1,-0.03,0.04,-0.04
0.4,-0.03,10.04,-0.02,0.07,-0.04
0.55,-0.05,9.04,-0.02,0.08,-0.04
0.69,-0.06,7.91,-0.03,0.05,-0.04
0.73,-0.09,7.49,-0.04,0.01,-0.04
0.68,-0.14,7.74,-0.06,-0.03,-0.04
0.59,-0.15,8.36,-0.08,-0.06,-0.04
0.49,-0.11,9.29,-0.09,-0.08,-0.04
0.34,-0.03,10.09,-0.08,-0.08,-0.04
0.19,-0.03,11.01,-0.06,-0.05,-0.04
0.18,-0.07,11.44,-0.04,-0.01,-0.04
0.25,-0.02,11.2,-0.03,0.04,-0.04
0.35,-0.02,10.45,-0.03,0.07,-0.04
0.51,-0.06,9.46,-0.02,0.08,-0.04
0.68,-0.06,8.19,-0.03,0.06,-0.04
0.76,-0.07,7.47,-0.04,0.02,-0.04
0.69,-0.13,7.61,-0.06,-0.02,-0.04
0.6,-0.14,8.31,-0.07,-0.06,-0.04
0.53,-0.13,9.02,-0.08,-0.08,-0.04
0.33,-0.04,10,-0.08,-0.08,-0.04
0.21,-0.05,10.84,-0.06,-0.06,-0.04
0.18,-0.02,11.4,-0.05,-0.02,-0.04
0.22,-0.06,11.29,-0.04,0.02,-0.04
0.3,-0.02,10.7,-0.03,0.06,-0.04
0.49,-0.03,9.54,-0.02,0.08,-0.04
0.65,-0.07,8.46,-0.03,0.07,-0.04
0.74,-0.08,7.55,-0.04,0.03,-0.04
0.73,-0.12,7.5,-0.05,-0.01,-0.04
0.62,-0.14,8.05,-0.07,-0.05,-0.04
0.53,-0.14,8.93,-0.08,-0.07,-0.04
0.35,-0.07,9.73,-0.08,-0.08,-0.04
0.29,-0.05,10.71,-0.07,-0.07,-0.04
0.17,-0.06,11.37,-0.05,-0.03,-0.04
0.17,-0.05,11.44,-0.04,0.01,-0.04
0.28,-0.02,10.86,-0.03,0.05,-0.04
0.4,-0.03,9.96,-0.02,0.08,-0.04
0.61,-0.07,8.77,-0.03,0.07,-0.04
0.71,-0.07,7.84,-0.04,0.05,-0.04
0.76,-0.1,7.41,-0.05,0,-0.04
0.7,-0.16,7.78,-0.06,-0.04,-0.04
0.55,-0.13,8.61,-0.08,-0.07,-0.04
0.44,-0.08,9.33,-0.09,-0.08,-0.04
0.34,-0.07,10.3,-0.08,-0.07,-0.04
0.19,-0.01,11.06,-0.06,-0.05,-0.04
0.17,-0.07,11.45,-0.04,0,-0.04
0.26,-0.03,11.19,-0.03,0.04,-0.04
0.38,-0.04,10.26,-0.02,0.07,-0.04
0.52,-0.05,9.22,-0.02,0.08,-0.04
0.68,-0.06,8.12,-0.03,0.06,-0.04
0.77,-0.09,7.51,-0.04,0.02,-0.04
0.68,-0.1,7.6,-0.06,-0.02,-0.04
0.62,-0.14,8.15,-0.07,-0.06,-0.04
0.52,-0.14,9.07,-0.08,-0.08,-0.04
0.32,-0.05,9.95,-0.08,-0.08,-0.04
0.2,-0.03,10.94,-0.06,-0.06,-0.04
0.17,-0.03,11.33,-0.05,-0.02,-0.04
0.24,-0.04,11.28,-0.03,0.03,-0.04
0.32,-0.03,10.69,-0.03,0.06,-0.04
0.47,-0.04,9.58,-0.02,0.08,-0.04
0.62,-0.04,8.57,-0.03,0.07,-0.04
0.74,-0.06,7.61,-0.04,0.03,-0.04
0.72,-0.12,7.43,-0.05,-0.01,-0.04
0.67,-0.16,7.92,-0.07,-0.05,-0.04
0.55,-0.15,8.67,-0.08,-0.07,-0.04
0.35,-0.08,9.75,-0.09,-0.08,-0.04
0.25,-0.03,10.5,-0.07,-0.07,-0.04
0.17,-0.05,11.27,-0.05,-0.03,-0.04
0.19,-0.05,11.41,-0.04,0.01,-0.04
0.3,-0.03,10.94,-0.03,0.05,-0.04
0.37,-0.01,10.09,-0.02,0.07,-0.04
0.58,-0.06,8.89,-0.02,0.07,-0.04
0.7,-0.07,7.96,-0.04,0.05,-0.04
0.75,-0.08,7.39,-0.05,0.01,-0.04
0.69,-0.13,7.7,-0.06,-0.03,-0.04
0.6,-0.13,8.41,-0.08,-0.07,-0.04
0.48,-0.12,9.3,-0.08,-0.08,-0.04
0.33,-0.06,10.25,-0.08,-0.08,-0.04
0.16,-0.02,10.97,-0.06,-0.05,-0.04
0.16,-0.06,11.39,-0.04,-0.01,-0.04
0.25,-0.06,11.18,-0.03,0.03,-0.04
0.37,0,10.33,-0.02,0.06,-0.04
0.48,-0.05,9.42,-0.02,0.07,-0.04
0.65,-0.07,8.26,-0.03,0.06,-0.04
0.74,-0.08,7.54,-0.04,0.03,-0.04
0.68,-0.11,7.54,-0.06,-0.02,-0.04
0.67,-0.15,8.02,-0.07,-0.05,-0.04
0.52,-0.13,8.97,-0.08,-0.08,-0.04
0.34,-0.08,9.89,-0.08,-0.08,-0.04
0.17,-0.06,10.84,-0.07,-0.06,-0.04
0.16,-0.04,11.26,-0.05,-0.03,-0.04
0.2,-0.06,11.32,-0.03,0.02,-0.04
0.32,-0.02,10.79,-0.02,0.05,-0.04
0.44,-0.01,9.65,-0.02,0.07,-0.04
0.6,-0.08,8.67,-0.03,0.07,-0.04
0.72,-0.06,7.66,-0.04,0.04,-0.04
0.74,-0.11,7.44,-0.05,0,-0.04
0.68,-0.15,7.85,-0.07,-0.04,-0.04
0.57,-0.14,8.59,-0.08,-0.07,-0.04
0.36,-0.1,9.62,-0.08,-0.08,-0.04
0.26,-0.06,10.46,-0.07,-0.07,-0.04
0.18,-0.06,11.27,-0.05,-0.03,-0.04
0.17,-0.04,11.42,-0.04,0.01,-0.04
0.28,-0.01,10.93,-0.03,0.05,-0.04
0.4,-0.02,10.12,-0.02,0.07,-0.04
0.58,-0.05,8.97,-0.02,0.07,-0.04
0.66,-0.05,8,-0.04,0.05,-0.04
0.75,-0.09,7.42,-0.05,0.01,-0.04
0.7,-0.14,7.65,-0.06,-0.03,-0.04
0.62,-0.13,8.34,-0.08,-0.07,-0.04
0.45,-0.12,9.32,-0.09,-0.08,-0.04
0.33,-0.08,10.33,-0.08,-0.08,-0.04
0.14,-0.02,11.05,-0.06,-0.05,-0.04
0.17,-0.06,11.45,-0.04,0,-0.04
0.25,-0.02,11.21,-0.03,0.03,-0.04
0.34,-0.02,10.31,-0.02,0.07,-0.04
0.5,-0.03,9.36,-0.02,0.08,-0.04
0.68,-0.08,8.17,-0.03,0.06,-0.04
0.75,-0.08,7.52,-0.04,0.03,-0.04
0.71,-0.12,7.53,-0.06,-0.02,-0.04
0.64,-0.14,8.09,-0.08,-0.06,-0.04
0.5,-0.11,9.08,-0.09,-0.08,-0.04
0.35,-0.09,9.97,-0.08,-0.08,-0.04
0.17,-0.03,11.02,-0.06,-0.06,-0.04
0.15,-0.05,11.36,-0.05,-0.02,-0.04
0.27,-0.04,11.29,-0.03,0.03,-0.04
0.32,-0.02,10.65,-0.02,0.06,-0.04
0.47,-0.04,9.55,-0.02,0.08,-0.04
0.62,-0.08,8.57,-0.03,0.07,-0.04
0.74,-0.08,7.61,-0.04,0.03,-0.04
0.75,-0.07,7.41,-0.05,0,-0.04
0.7,-0.15,7.88,-0.07,-0.05,-0.04
0.55,-0.15,8.67,-0.08,-0.07,-0.04
0.37,-0.06,9.72,-0.08,-0.09,-0.04
0.24,-0.05,10.64,-0.07,-0.07,-0.04
0.17,-0.05,11.36,-0.05,-0.03,-0.04
0.17,-0.01,11.41,-0.04,0.01,-0.04
0.29,-0.02,10.87,-0.03,0.05,-0.04
0.43,-0.02,9.96,-0.02,0.07,-0.04
0.57,-0.05,8.83,-0.03,0.07,-0.04
0.7,-0.06,7.84,-0.04,0.05,-0.04
0.75,-0.09,7.33,-0.05,0,-0.04
0.71,-0.17,7.71,-0.06,-0.03,-0.04
0.59,-0.15,8.49,-0.08,-0.07,-0.04
0.45,-0.1,9.34,-0.08,-0.09,-0.04
0.27,-0.06,10.4,-0.07,-0.08,-0.04
0.15,-0.01,11.09,-0.06,-0.05,-0.04
0.18,-0.04,11.49,-0.04,0,-0.04
0.24,-0.04,11.18,-0.03,0.04,-0.04
0.39,-0.01,10.27,-0.02,0.07,-0.04
0.52,-0.05,9.28,-0.02,0.08,-0.04
0.66,-0.06,8.08,-0.03,0.06,-0.04
0.74,-0.1,7.46,-0.04,0.02,-0.04
0.72,-0.13,7.57,-0.06,-0.02,-0.04
0.64,-0.14,8.07,-0.07,-0.06,-0.04
0.48,-0.11,9.05,-0.08,-0.08,-0.04
0.31,-0.06,10,-0.08,-0.08,-0.04
0.15,-0.03,10.94,-0.06,-0.06,-0.04
0.17,-0.03,11.33,-0.05,-0.02,-0.04
0.23,-0.04,11.33,-0.04,0.02,-0.04
0.33,-0.04,10.75,-0.02,0.06,-0.04
0.43,-0.03,9.84,-0.02,0.07,-0.04
0.59,-0.06,8.61,-0.03,0.07,-0.04
0.72,-0.06,7.65,-0.04,0.04,-0.04
0.74,-0.11,7.4,-0.05,0,-0.04
0.69,-0.17,7.86,-0.07,-0.05,-0.04
0.56,-0.13,8.64,-0.08,-0.08,-0.04
0.38,-0.08,9.73,-0.08,-0.09,-0.04
0.24,-0.05,10.56,-0.07,-0.07,-0.04
0.18,-0.05,11.32,-0.05,-0.03,-0.04
0.19,-0.02,11.43,-0.04,0,-0.04
0.27,-0.03,11.14,-0.03,0.04,-0.04
0.4,-0.03,10.13,-0.02,0.07,-0.04
0.51,-0.05,9.17,-0.02,0.08,-0.04
0.69,-0.07,7.98,-0.03,0.06,-0.04
0.75,-0.1,7.43,-0.05,0.02,-0.04
0.7,-0.12,7.54,-0.06,-0.03,-0.04
0.6,-0.13,8.21,-0.08,-0.06,-0.04
0.46,-0.11,9.17,-0.08,-0.08,-0.04
0.31,-0.07,10.07,-0.08,-0.08,-0.04
0.18,-0.04,11.03,-0.06,-0.05,-0.04
0.17,-0.05,11.4,-0.05,-0.02,-0.04
0.25,-0.03,11.31,-0.03,0.03,-0.04
0.34,-0.03,10.68,-0.02,0.06,-0.04
0.48,-0.04,9.59,-0.02,0.08,-0.04
0.62,-0.06,8.56,-0.03,0.07,-0.04
0.77,-0.09,7.54,-0.04,0.03,-0.04
0.73,-0.12,7.39,-0.05,0,-0.04
0.68,-0.16,7.9,-0.07,-0.05,-0.04
0.53,-0.14,8.67,-0.08,-0.07,-0.04
0.4,-0.08,9.68,-0.08,-0.08,-0.04
0.29,-0.07,10.54,-0.07,-0.07,-0.04
0.15,-0.05,11.31,-0.05,-0.03,-0.04
0.16,-0.03,11.45,-0.04,0,-0.04
0.29,-0.03,11,-0.03,0.04,-0.04
0.38,-0.05,10.25,-0.02,0.07,-0.04
0.54,-0.07,9.04,-0.02,0.08,-0.04
0.69,-0.07,8.06,-0.03,0.06,-0.04
0.78,-0.1,7.36,-0.05,0.02,-0.04
0.74,-0.13,7.55,-0.06,-0.03,-0.04
0.61,-0.15,8.27,-0.08,-0.06,-0.04
0.52,-0.12,9.11,-0.08,-0.08,-0.04
0.32,-0.06,10.13,-0.08,-0.08,-0.04
0.22,-0.05,10.95,-0.06,-0.06,-0.04
0.18,0,11.4,-0.05,-0.02,-0.04
0.22,-0.06,11.31,-0.03,0.02,-0.04
0.32,-0.03,10.64,-0.02,0.06,-0.04
0.44,-0.03,9.69,-0.02,0.08,-0.04
0.62,-0.06,8.44,-0.03,0.07,-0.04
0.74,-0.06,7.57,-0.04,0.04,-0.04
0.74,-0.12,7.43,-0.05,-0.01,-0.05
0.68,-0.13,7.88,-0.07,-0.05,-0.04
0.52,-0.14,8.76,-0.08,-0.08,-0.04
0.4,-0.08,9.59,-0.08,-0.08,-0.04
0.29,-0.1,10.65,-0.07,-0.07,-0.04
0.16,-0.05,11.24,-0.06,-0.04,-0.04
0.19,-0.05,11.44,-0.04,0.01,-0.04
0.26,-0.04,11.11,-0.03,0.04,-0.04
0.39,-0.01,10.13,-0.02,0.07,-0.04
0.54,-0.07,9.12,-0.02,0.08,-0.04
0.68,-0.08,7.94,-0.03,0.05,-0.04
0.75,-0.11,7.42,-0.04,0.02,-0.04
0.71,-0.14,7.6,-0.06,-0.03,-0.04
0.62,-0.15,8.24,-0.08,-0.06,-0.04
0.5,-0.14,9.15,-0.08,-0.08,-0.04
0.33,-0.05,10.05,-0.08,-0.08,-0.04
0.2,-0.04,11,-0.06,-0.05,-0.04
0.17,-0.04,11.44,-0.05,-0.02,-0.04
0.23,-0.04,11.27,-0.03,0.03,-0.04
0.32,-0.04,10.66,-0.03,0.06,-0.04
0.45,-0.04,9.57,-0.02,0.08,-0.04
0.61,-0.06,8.55,-0.03,0.07,-0.04
0.75,-0.07,7.58,-0.04,0.03,-0.04
0.74,-0.13,7.39,-0.05,-0.01,-0.04
0.67,-0.15,7.94,-0.07,-0.05,-0.04
0.55,-0.13,8.64,-0.08,-0.07,-0.04
0.42,-0.09,9.63,-0.08,-0.08,-0.04
0.31,-0.06,10.49,-0.07,-0.07,-0.04
0.17,-0.04,11.31,-0.05,-0.04,-0.04
0.18,-0.02,11.46,-0.04,0,-0.04
0.24,-0.02,11.03,-0.03,0.05,-0.04
0.36,-0.01,10.17,-0.02,0.07,-0.04
0.55,-0.05,8.97,-0.02,0.07,-0.04
0.68,-0.11,8,-0.03,0.06,-0.04
0.75,-0.07,7.43,-0.04,0.01,-0.04
0.71,-0.12,7.61,-0.06,-0.03,-0.04
0.63,-0.16,8.32,-0.08,-0.06,-0.04
0.49,-0.13,9.08,-0.09,-0.08,-0.04
0.35,-0.06,10.05,-0.08,-0.08,-0.04
0.23,-0.03,10.86,-0.06,-0.06,-0.04
0.14,-0.03,11.43,-0.05,-0.02,-0.04
0.21,-0.06,11.37,-0.04,0.02,-0.04
0.35,-0.03,10.57,-0.03,0.06,-0.04
0.44,-0.05,9.72,-0.02,0.08,-0.04
0.62,-0.06,8.54,-0.03,0.07,-0.04
0.73,-0.06,7.63,-0.04,0.04,-0.04
0.73,-0.09,7.42,-0.05,-0.01,-0.04
0.64,-0.16,7.87,-0.06,-0.04,-0.04
0.58,-0.16,8.66,-0.08,-0.07,-0.04
